Name,Score,Japanese name,Type,Favorites,Completed
Air Master,7.02,エアマスター,TV,155,17231
Asagiri no Miko,6.18,朝霧の巫女,TV,6,2727
Cardcaptor Sakura,8.16,カードキャプターさくら,TV,12901,214053
Daa! Daa! Daa!,7.65,だぁ! だぁ! だぁ!,TV,262,10846
Dan Doh!!,6.69,ダンドー,TV,5,1873
Detective Conan,8.16,名探偵コナン,TV,11827,9
E's Otherwise,6.64,エスアザーワイズ,TV,29,8175
Koukyoushihen Eureka Seven,8.09,交響詩篇エウレカセブン,TV,9241,190807
Rekka no Honoo,7.36,烈火の炎,TV,273,29742
Gankutsuou,8.17,巌窟王,TV,3521,68806
Genshiken,7.66,げんしけん,TV,1330,78639
Girls Bravo: First Season,6.45,GIRLSブラボー first season,TV,329,82265
Gokusen,7.42,ごくせん,TV,210,22258
Gravitation,7.02,グラビテーション,TV,1322,74479
Agatha Christie no Meitantei Poirot to Marple,6.88,アガサ・クリスティーの名探偵ポワロとマープル,TV,20,1983
Great Teacher Onizuka,8.7,グレート・ティーチャー・オニヅカ,TV,20870,334925
Groove Adventure Rave,7.27,レイヴ,TV,381,40997
Harukanaru Toki no Naka de: Hachiyou Shou,7.05,遙かなる時空の中で〜八葉抄〜,TV,123,8301
Ichigo 100%,6.68,いちご100%,TV,262,63592
InuYasha,7.85,犬夜叉,TV,17186,317986
Konjiki no Gash Bell!!,7.55,金色のガッシュベル!!,TV,1143,49331
Kyou kara Maou!,7.7,今日からマ王！,TV,1475,37433
Madlax,7.07,マドラックス,TV,149,14233
Jungle wa Itsumo Hare nochi Guu,7.84,ジャングルはいつもハレのちグゥ,TV,397,14766
Jungle wa Itsumo Hare nochi Guu Deluxe,7.83,ジャングルはいつもハレのちグゥ　デラックス,OVA,25,8508
Jungle wa Itsumo Hare nochi Guu Final,7.65,ジャングルはいつもハレのちグゥ　ＦＩＮＡＬ,OVA,14,6910
Hoshi no Koe,7.22,ほしのこえ,OVA,551,86683
Ikkitousen,6.45,一騎当千,TV,439,78151
Hitsuji no Uta,6.23,羊のうた,OVA,38,7283
Happy☆Lesson,6.64,HAPPY☆LESSON,OVA,18,6071
Happy☆Lesson (TV),6.67,HAPPY☆LESSON,TV,30,14637
Happy☆Lesson: Advance,6.84,HAPPY☆LESSON ADVANCE,TV,8,8507
Happy☆Lesson: The Final,6.83,HAPPY☆LESSON THE FINAL,OVA,5,5757
Hajime no Ippo,8.75,はじめの一歩 THE FIGHTING!,TV,15543,221671
Hajime no Ippo: Champion Road,8.29,はじめの一歩 -Champion Road-,Special,220,82189
Hajime no Ippo: Mashiba vs. Kimura,8.23,はじめの一歩 間柴vs木村 死刑執行,OVA,155,66274
Gunparade March: Arata Naru Kougunka,6.8,ガンパレード・マーチ -新たなる行軍歌-,TV,26,7330
Gungrave,7.87,ガングレイヴ,TV,2294,72321
Golden Boy,8.03,ゴールデンボーイ,OVA,3784,176125
Bleach,7.8,BLEACH - ブリーチ -,TV,54386,638922
Hellsing,7.5,Hellsing [ヘルシング],TV,5798,378129
Gad Guard,6.7,ガドガード,TV,22,5138
Noir,7.31,ノワール,TV,823,40796
Mahoutsukai ni Taisetsu na Koto,6.75,魔法遣いに大切なこと,TV,38,7762
Kiddy Grade,7.22,キディ・グレイド,TV,279,22208
Love♥Love?,5.91,LOVE♥LOVE?,TV,15,11763
Mahoromatic: Automatic Maiden,7.18,まほろまてぃっく,TV,198,30964
Mahoromatic: Motto Utsukushii Mono,7.17,まほろまてぃっく  ~もっと美しいもの~,TV,44,20303
Viewtiful Joe,6.75,ビューティフル ジョー,TV,33,5169
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.15,京極夏彦　巷説百物語,TV,114,9714
Animal Yokochou,6.83,アニマル横町,TV,9,547
Akane Maniax,5.74,アカネマニアックス,OVA,13,11834
Angel Heart,7.3,エンジェル・ハート,TV,72,5102
Akage no Anne,7.7,赤毛のアン,TV,506,8181
Area 88 (TV),7.03,エリア８８,TV,58,5825
Argento Soma,6.8,アルジェント ソーマ,TV,71,7082
B'T X,7.05,B`T X　ビート・エックス,TV,49,5719
Grappler Baki (TV),7.44,グラップラー刃牙,TV,508,50535
Bakuten Shoot Beyblade,6.73,爆転シュート　ベイブレード,TV,358,74476
Comic Party,6.59,こみっくパーティー,TV,31,9238
Seikai no Monshou,7.69,星界の紋章,TV,423,20068
D.C.S.S: Da Capo Second Season,7.01,D.C.S.S. ～ダ・カーポ セカンドシーズン～,TV,37,19784
Dear Boys,6.85,ディア・ボーイズ,TV,48,11116
Di Gi Charat,6.73,デ・ジ･キャラット,TV,108,10719
Divergence Eve,5.93,ダイバージェンス・イヴ,TV,7,4668
Divergence Eve 2: Misaki Chronicles,6.3,みさきクロニクル 〜ダイバージェンス・イヴ〜,TV,10,3124
Dragon Drive,6.73,ドラゴンドライブ,TV,52,10560
Grenadier: Hohoemi no Senshi,6.72,グレネーダー 〜ほほえみの閃士〜,TV,69,30372
.hack//Tasogare no Udewa Densetsu,6.6,.hack//黄昏の腕輪伝説,TV,166,43372
.hack//Liminality,6.61,.hack//LIMINALITY,OVA,42,21632
3x3 Eyes,6.77,3×3EYES,OVA,103,13962
Cinderella Boy,6.32,シンデレラボーイ,TV,6,2893
Mirai Shounen Conan,8.09,未来少年コナン,TV,450,15262
Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,6.92,ああっ女神さまっ 小っちゃいって事は便利だねっ,TV,37,12880
Aa! Megami-sama! Movie,7.57,劇場版　ああっ女神さまっ,Movie,108,30233
Abashiri Ikka,5.39,あばしり一家,OVA,11,1752
Abenobashi Mahou☆Shoutengai,7.26,アベノ橋魔法☆商店街,TV,326,36280
Kerokko Demetan,6.01,けろっこデメタン,TV,2,534
Zettai Shounen,6.94,絶対少年,TV,59,3875
Akahori Gedou Hour Rabuge,6.16,あかほり外道アワーらぶげ,TV,7,1613
"Chiisana Obake: Acchi, Kocchi, Socchi",5.98,小さなおばけ アッチ・ソッチ・コッチ,TV,2,835
Ace wo Nerae!,7.02,エースをねらえ!,TV,57,2744
Ace wo Nerae!: Final Stage,6.52,「エースをねらえ！」 —ファイナル・ステージ—,OVA,3,536
Ace wo Nerae! (1979),6.83,エースをねらえ！,Movie,7,1674
Ace wo Nerae! 2,6.87,エースをねらえ！２,OVA,18,809
Xiao Qian,6.5,チャイニーズゴーストストーリー小倩,Movie,8,1314
Nageki no Kenkou Yuuryouji,6.19,嘆きの健康優良児,OVA,21,2475
Final Fantasy VII: Advent Children,7.76,ファイナルファンタジーVII アドベントチルドレン,Movie,1202,178810
Hand Maid May,6.73,HAND MAID メイ,TV,33,16773
Happy World!,6.02,Happy World!,OVA,6,3648
A Kite,6.56,A KITE（カイト）,OVA,214,33238
Najica Dengeki Sakusen,6,ナジカ電撃作戦,TV,10,7280
Paradise Kiss,7.83,Paradise kiss,TV,2842,90827
Mousou Dairinin,7.68,妄想代理人,TV,4214,136786
Kidou Keisatsu Patlabor: On Television,7.69,機動警察パトレイバー ON TELEVISION,TV,361,9119
Peach Girl,7,ピーチガール,TV,815,52978
