2020年,那須烏山市,24886,12384,12502
2020年,下野市,59479,29457,30022
2020年,上三川町,30810,15855,14955
2020年,益子町,21906,10872,11034
2020年,茂木町,11899,5878,6021
2020年,市貝町,11259,5754,5505
2020年,芳賀町,14968,7539,7429
2020年,壬生町,39509,19449,20060
2020年,野木町,24906,12396,12510
2020年,塩谷町,10366,5140,5226
2020年,高根沢町,29253,15254,13999
2020年,那須町,24021,11789,12232
2020年,那珂川町,15226,7685,7541
2020年,群馬県,1940333,959689,980644
2020年,前橋市,332332,162343,169989
2020年,高崎市,373218,182706,190512
2020年,桐生市,106524,51415,55109
2020年,伊勢崎市,211975,106389,105586
2020年,太田市,223150,114134,109016
2020年,沼田市,45382,21942,23440
2020年,館林市,75335,37770,37565
2020年,渋川市,74614,36352,38262
2020年,藤岡市,63299,30782,32517
2020年,富岡市,47470,23407,24063
2020年,安中市,54962,26862,28100
2020年,みどり市,49663,24570,25093
2020年,榛東村,14222,7188,7034
2020年,吉岡町,21817,10618,11199
2020年,上野村,1128,571,557
2020年,神流町,1645,793,852
2020年,下仁田町,6583,3225,3358
2020年,南牧村,1612,763,849
2020年,甘楽町,12481,6181,6300
2020年,中之条町,15396,7499,7897
2020年,長野原町,5102,2530,2572
2020年,嬬恋村,8861,4523,4338
2020年,草津町,6070,3050,3020
2020年,高山村,3518,1747,1771
2020年,東吾妻町,12741,6272,6469
2020年,片品村,3994,1948,2046
2020年,川場村,3485,1593,1892
2020年,昭和村,6962,3456,3506
2020年,みなかみ町,17233,8357,8876
2020年,玉村町,36073,17594,18479
2020年,板倉町,14101,7029,7072
2020年,明和町,10884,5466,5418
2020年,千代田町,10857,5469,5388
2020年,大泉町,42107,22284,19823
2020年,邑楽町,25537,12861,12676
2020年,埼玉県,7346836,3651934,3694902
2020年,さいたま市,1324591,652965,671626
2020年,さいたま市西区,93512,45848,47664
2020年,さいたま市北区,149303,73404,75899
2020年,さいたま市大宮区,117875,58353,59522
2020年,さいたま市見沼区,165105,80738,84367
2020年,さいたま市中央区,103321,50998,52323
2020年,さいたま市桜区,98718,49771,48947
2020年,さいたま市浦和区,164851,79543,85308
2020年,さいたま市南区,191635,95491,96144
2020年,さいたま市緑区,128399,63236,65163
2020年,さいたま市岩槻区,111872,55583,56289
2020年,川越市,354680,177393,177287
2020年,熊谷市,194439,97040,97399
2020年,川口市,594461,299265,295196
2020年,行田市,78671,38746,39925
2020年,秩父市,59706,29070,30636
2020年,所沢市,342535,168168,174367
2020年,飯能市,80391,40287,40104
2020年,加須市,111702,56003,55699
2020年,本庄市,78623,39231,39392
2020年,東松山市,91838,46186,45652
2020年,春日部市,229767,113428,116339
2020年,狭山市,148712,74138,74574
2020年,羽生市,52879,26153,26726
2020年,鴻巣市,116864,57672,59192
2020年,深谷市,141336,70229,71107
2020年,上尾市,227020,112289,114731
2020年,草加市,248037,125021,123016
2020年,越谷市,341765,168776,172989
2020年,蕨市,74326,37486,36840
2020年,戸田市,140868,71359,69509
2020年,入間市,145723,71808,73915
2020年,朝霞市,141036,70663,70373
2020年,志木市,75377,36943,38434
2020年,和光市,83997,43142,40855
2020年,新座市,166104,81792,84312
2020年,桶川市,74778,36957,37821
2020年,久喜市,150599,74596,76003
2020年,北本市,65228,32221,33007
2020年,八潮市,93412,48005,45407
2020年,富士見市,111881,54872,57009
2020年,三郷市,142177,71485,70692
2020年,蓮田市,61530,30478,31052
2020年,坂戸市,100300,50039,50261
2020年,幸手市,50095,24984,25111
2020年,鶴ヶ島市,70198,34607,35591
2020年,日高市,54591,26946,27645
2020年,吉川市,72028,35808,36220
2020年,ふじみ野市,113640,56078,57562
2020年,白岡市,52223,25748,26475
2020年,伊奈町,44848,22549,22299
2020年,三芳町,38452,18954,19498
2020年,毛呂山町,35379,17536,17843
2020年,越生町,11042,5494,5548
2020年,滑川町,19682,10040,9642
2020年,嵐山町,17904,8942,8962
2020年,小川町,28536,14188,14348
2020年,川島町,19398,9832,9566
2020年,吉見町,18196,9130,9066
2020年,鳩山町,13581,6561,7020
2020年,ときがわ町,10547,5334,5213
2020年,横瀬町,7981,3965,4016
2020年,皆野町,9305,4590,4715
2020年,長瀞町,6809,3322,3487
2020年,小鹿野町,10890,5365,5525
2020年,東秩父村,2710,1352,1358
2020年,美里町,11040,5539,5501
2020年,神川町,13380,6780,6600
2020年,上里町,30347,15011,15336
2020年,寄居町,32386,16062,16324
2020年,宮代町,34163,17183,16980
2020年,杉戸町,43860,21933,21927
2020年,松伏町,28272,14195,14077
2020年,千葉県,6287034,3117871,3169163
2020年,千葉市,975210,481154,494056
2020年,千葉市中央区,211734,105665,106069
2020年,千葉市花見川区,177408,87288,90120
2020年,千葉市稲毛区,160684,80362,80322
2020年,千葉市若葉区,146976,72965,74011
2020年,千葉市緑区,129467,63118,66349
2020年,千葉市美浜区,148941,71756,77185
2020年,銚子市,58478,28249,30229
2020年,市川市,496943,251388,245555
2020年,船橋市,642972,318847,324125
2020年,館山市,45177,21850,23327
2020年,木更津市,136224,68464,67760
2020年,松戸市,498293,247044,251249
2020年,野田市,152674,76171,76503
2020年,茂原市,86821,42656,44165
2020年,成田市,132998,66249,66749
2020年,佐倉市,168858,82450,86408
2020年,東金市,58248,29255,28993
2020年,旭市,63788,31396,32392
2020年,習志野市,176306,87890,88416
2020年,柏市,426552,210721,215831
2020年,勝浦市,16938,8705,8233
2020年,市原市,269653,138466,131187
2020年,流山市,199960,98446,101514
2020年,八千代市,199597,97916,101681
2020年,我孫子市,130590,63562,67028
2020年,鴨川市,32149,15230,16919
2020年,鎌ケ谷市,109989,53592,56397
2020年,君津市,82249,41933,40316
2020年,富津市,42508,21538,20970
2020年,浦安市,171424,83500,87924
